alphabet,word,definition,alternative_word,alternative_definition,
A,abotta di fico,look,,,
A,abottinamento,as,,,
A,abottinare,,,,
A,abottino,"mutinously, aboot-haling, a sreebcoting",,,
A,abraccia aperte,oz,"z??re, as  Abb",oz,
A,abraccia quadre,with vnfolded armes,,,
A,abraga,"with a breeche, as some pieces are",,,
A,abrame,a fish called a breame,,,
A,abrano,"by piece-meale, by mamocks",,,
A,abrano abrano,idem,,,
A,abrenuzzo,as,,,
A,abriglia sciolta,"in full speed, vnbrideledly",,,
A,abriolo,a singing Canary bird,,,
A,abristicare,,,,
A,abrocare,to become hoarce. Also to snort,,,
A,abrocca. nemico abrocca,an enemy from the lance to the bodkin or nailes point,,,
A,abrodieto,"fine, delicate and sumptuous",,,
A,abrogare,,,,
A,abrogatione,,,,
A,abronuntia,"hath beene vsed for a whirret on the eare, or any other meanes to rid one away, as one would say, a casting of",,,
A,abrostina,a kind of wild wine or grape,,,
A,abrotano,the herb southernwood,,,
A,abruciare,,,,
A,abruggiare,"to burne, as",,,
A,abruno,clad in mourning or blacke,,,
A,abrusca,any wild wine or grape,,,
A,abruscare,"to make sowre or sharpe. Also to seare, to parch, to scorch, to singe",,,
A,abrusciamento,a burning,,,
A,abrusciare,to burne or consume with fire. Also to itch or smart,,,
A,abruscieuole,that may burne,,,
A,abrustire,,,,
A,abrutare,,,,
A,abruttamente,"abruptly, out of order, without preface or due course",,,
A,abrutto,"abrupt, disordered, out of course",,,
A,absentare,to absent,,,
A,absenza,absence,,,
A,abside,the point wherein any planet is fur thest from the earth,,,
A,abside infima,the lowest point of any planet,,,
A,abside suprema,the highest point of any planet,,,
A,absinthino,"made, or tasting of wormewood",,,
A,absinthio,the herbe wormewood. Also a kind of blackish stone,,,
A,absite,a kind of pretious isone,,,
A,absoleto,"out of vse, vtterly abolished",,,
A,absolto,as,,,
A,absoluere,,,,
A,absolutione,,,,
A,absoluto,as,,,
A,absono,"dissonant, vntuned",,,
A,absorbere,"to swallow, or glut vp",,,
A,absordit??_,,,,
A,absordo,"absurd, inconuenient, against reason",,,
A,abstenere,to abstaine,,,
A,abstergere,to cleanse or wipe away,,,
A,abstertiuo,"scouring, cleansing, or wiping away",,,
A,abstinente,abstinent,,,
A,abstinenza,abstinence,,,
A,abstirdit??_,,,,
A,abstrarre,"to abstract, or draw from",,,
A,abstrattione,abstraction,,,
A,abstruso,"abstruse, seeret, inward, darke to be vnderstood",,,
A,absurdamente,"absurdly, vnorderly",,,
A,absurdo,"absurd, against reason",,,
A,abucciuolo,looke,,,
A,abuon baratto,"cheape, good cheape",,,
A,abuon conto,"in part of paiment, toward the reckoning",,,
A,abuon hora,"early, timely, betimes",,,
A,abuon hotta,,,,
A,abuon mercato,"cheape, good cheape",,,
A,abuona derrata,"good cheape, cheapefull",,,
A,abuona luna,"in a luckie time of the moone, as we say in a good houre",,,
A,abuona ragione,"vpon good reason, good reason why, rightfully",,,
A,aburattare,to bolt or siftmeale,,,
A,abusare,"to abuse, to misorder",,,
A,abuseuole,that may be abused,,,
A,abusione,"abusion, misordre",,,
A,abusiuamente,"abusiuely, misorderly",,,
A,abusiuo,"abusiue, improper",,,
A,abuso,"abuse, misorder",,,
A,abuzzago,from vse or custome,,,
A,acaccia,"a hunting, a hawking, afowling, a chasing, a driuing",,,
A,acacia,a shrub called the Egyptian thorne. Also a certaine iuice made of apples and other things. Also a kind of thorny plant bearing great timber,,,
A,academia,an academie or vniuersitie where studies are professed,,,
A,academiante,"of or pertaining to an vniuersitie, an acadcmian",,,
A,academico,"academicall, a student in any vniuersity",,,
A,acagione,"by occasion, because",,,
A,acalzoppo,skipping or hopping vpon one foot,,,
A,acambio,"by exchange, mutually",,,
A,acammeralocanda,in or at an hired,,chamber,
A,acamo,a sea fish hauing a great head and skales like gold,,,
A,acanino,a casting bottle. Also an ewer,,,
A,acano,the sca-holy. Some take it for licorice,,,
A,acantauola,an instrument that Chirurgions vse to pull out bones with,,,
A,acante,the hearb grounswell. Also a dumb grashoppex. Also the bird Linnet or Siskin,,,
A,acanthicene,the thistle-masticke,,,
A,acanthio,the brazell-tree or wood,,,
A,acantica,a kind of gum or drug,,,
A,acantida,,,,
A,acanto,"neere, by, ioining or close vnto. Also the hearb Beare-foot, Bearesbreech, or Brank-ursin",,,
A,acanzi,soldiers among the Turkes that only to get themselues honor goe to the wars on their owne charges,,,
A,acapnone,a kind of hony gathered without smoke,,,
A,acapo,"to the head, or end, or conclusion",,,
A,acapo chino,"with head bending, that is reuerently stooping or louting",,,
A,acapo erto,"with an vpright head, or vndanted looke",,,
A,acaporitto,idem,,,
A,acapriccio,"to yeshly, humorously",,,
A,acaremonde,the root of Ossimirsine,,,
A,acarion?grio,the hearb Ossimirsine,,,
A,acaro,"deer, acceptably, gladly, pleasing to one: mind. Also wild Mirtle or Gow. Also a kind of little worme or mite",,,
A,acarone,a kind of Mirtle with indiuisible branches,,,
A,acasa,"at home, home, in the house",,,
A,acasaccio,by ill or filthy chance,,,
A,acaso,"by chance, by for tune, by hap, casually",,,
A,acata. acate,an agath stone,,,
A,acatafasci,"o, in hudling or rumbling fashion",,,
A,acatia,a kind of drug so called,,,
A,acaualcioni,stradling as men ride,,,
A,acaualliere,as topping ouer or mounted vpon. Looke,,,
A,acauallo,on horseback mounted vpon,,,
A,acauallo a cauallo,"in post-hast, a snatch and away. Also a certaine march that trumpetters vse to sound in giuing a suddaine alarum",,,
A,acausa,"because, by occasion",,,
A,acausa ch?,"because, that",,,
A,acc,oz,"zam??nto,",an entershocking or butting together. Also a ioining or fitting together,
A,acca,the letter,H.,,
A,accadere,"to befall, to happen",,,
A,accadeuole,"that may befall, or happen",,,
A,accaduto,"befalne, hapned, chanced",,,
A,accaffare,,,,
A,accagionare,"to blame, to lay to ones charge, to impute",,,
A,accagliare,to crud or crudle,,,
A,accaglioso,"cruddy, full of cruds",,,
A,accalare,,,,
A,accaldare,"to heat, to warme",,,
A,accalonniare,,,,
A,accambiare,"to exchange, as",,,
A,accambiatore,,,,
A,accampanare,to frame as a bell,,,
A,accampanato,fashioned as a bell,,,
A,accampare,"to encampe, to beleagre, to besiege. Also to place a cote vpon any field or Skutcheon",,,
A,accanalatura,"a chanfuring, a chaneling",,,
A,accanare,,,,
A,accaneggiare,to bait with dogs,,,
A,accanellare,to dresse with cinamond,,,
A,accanire,"to chamfure, to enchanell, to make gutter-wise",,,
A,accanito,"endogged, currish, enraged as a mad dog. Also set on by dogs",,,
A,accannare,"to pricke or strike with canes, or reeds. Also to glut to the throte",,,
A,accanneggiare,,,,
A,accanto,a Goldfinch or Lmnet as some take it,,,
A,accantonare,,,,
A,accantonato,"cornered, angled. Also cosened, cheated or left in a corner",,,
A,accantoniere,,,,
A,accapacciato,"entangled in businesse, husied in mind and bodie",,,
A,accapere,"to cull, to chuse",,,
A,accapestrare,,,,
A,accapezzare,to put in a maund or hutch,,,
A,accaponare,"to capon, to geld, to lib, to splaie",,,
A,accappare,"to snatch, to catch, or seaze vpon",,,
A,accapparisonare,to caparison a horse,,,
A,accapparisonato,caparisoned,,,
A,accappiare,"to make in sliding knots. Also to entangle, to ensnare, to entramell",,,
A,accappiatura,"an entangling, an entrameling, an ensnaring",,,
A,accappigliare,"to tug or touze by the haire, to hind vp a womans haire. Also to ioine battell, to set together by the haires, to bind, to tie, to knit",,,
A,accappucciare,to grow round as a cabadge,,,
A,accappucciata lattuca,a hard cabidge letuce,,,
A,accapricciarsi,"to take a mood or humor in ones head. Also to looke staringlie,",,to be affrighted till ones haire stand for feare,
A,accarezzamento,any cherishing or cockering or making much of,,,
A,accarezzare,"to cherish, to cocker, to make much of, to entertaine louingly",,,
A,accarierare,to teach a horse to cariere,,,
A,accarnare,"to flesh, to incarnate, to entre a dog",,,
A,accarno,as,,,
A,accarpionare,"to souse or dresse fish with vinegre to bee eaten cold, to marle fish",,,
A,accartocciare,to wrap or fold vp in coffins of paper,,,
A,accasare,"to house, to build or store with houses, to ioine house to house, to lodge, to harborough. Also to marry or allie house to house",,,
A,accascare,"to befall, to happen",,,
A,accasciare,"to crudle as cheese. Also to bruse, to squease or make flat. Also to weare flat, to diminish, to bruise or squat in falling",,,
A,accastiare,,,,
A,accatta-brighe,,,,
A,accattalingua,"a getter of the word, a purchaser of audience",,,
A,accattamenti,"borrowings, gettings, findings or shiftings",,,
A,accattarato,as,,,
A,accattare,"to borrow, to get, to sheft for, to acquire. Also to beg vp and downe",,,
A,accattare in prestito,to get by borrowing,,,
A,accattarroso,"rheumatick, full of catarrhs",,,
A,accattastare,to pile or range or derly,,,
A,accattatore,"a shifter, a getter, a borrower",,,
A,accattatozzi,a begger of scraps,,,
A,accatti,"gettings, gaines, vailes, borowings, or shiftings for",,,
A,accattitia,a kind of grose furmentie gurts,,,
A,accauallare,to set or mount on horseback. Also to mount ordinance,,,
A,accauigliare,to stringe silke or giue it a glasse,,,
A,accauigliatore,a stringer of silke,,,
A,accecamento,a blinding,,,
A,accecare,to blind,,,
A,accedere,"to accede, to aproch or haue accesse vnto. Also to assent vnto",,,
A,acceffare,to take by the snout. Also to busse or beake as a hog doth,,,
A,acceffo,a taking by the snout. Also a bussing of beake to beake,,,
A,accegia,a moore hen,,,
A,acceleranza,haste or quicke speed,,,
A,accelerare,"to hasten, to make speed",,,
A,acceleratione,haste or quick speed,,,
A,accencire,to reduce vnto tatters or rags,Accenc?re ?na d?nna,to thrum a wench,
A,accendenole,that may be enkindled,,,
A,accendere,"to kindle, to enflame, to set on fire, to light. Also to prouoke or egge-on. Also in",Florence,"to curse, to banne, to chafe, to sweare",
A,accendimento,"an enkindling, a prouoking",,,
A,accenerire,"to consume or burne to ashes or cinders, to encinder",,,
A,accennamento,"a nod, a beck, an inkling. Also a signe or glancing at anie thing",,,
A,accennare,"to nod, to becken, to make a signe, to giue an inkling. Also by some signe to glance at anie thing a far of by speech or action",,,
A,accensione,"an enkindling, an enflaming",,,
A,accenso,"enflamed, enkindled. Also such a one as is appointed in the place of a dead man",,,
A,accentare,to accent or giue the due sound to any letter or word,,,
A,accento,an accent or point ouer anie letter to giue it a due sound,,,
A,accentuare,,accent?re,,
A,accerchiare,to hoope or circle about. Also to encompasse round,,,
A,accerchieuole,"compassAble, that may be hooped",,,
A,accerrimo,"cruell, fell, moodie",,,
A,accertamento,"an assurance, a warrant",,,
A,accertanza,"assurance, a warrant",,,
A,accertare,"to assure, to ascertaine, to warrant",,,
A,accertatione,"an assurance, a certificate",,,
A,accerto,"certes, certainlie",,,
A,acceruire,to heape or huddle together,,,
A,acceruo,"a heape, a hudle, a round masse",,,
A,acceso,"enflamed, enkindled, set on fire",,,
A,accessibile,"accessible, that accesse may be had vnto",,,
A,accessione,"an accession, an eeking, an augmentation. Also as",,,
A,accessiuo,"accessiue, aproachable",,,
A,accesso,"accesse or aproach vnto. Also an encrease or flowing vnto. Also a fit or accesse of an ague or any other sicknesse, a qualme. Also a skonce",,,
A,accessore,accessarie or a consenter,,,
A,accessoriamente,"accessiuelie, by his owne seeking",,,
A,accessorio,"accessorie, consenting vnto",,,
A,accettabile,acceptable,,,
A,accettabolo,the pan or hollownesse whercin the huckle bone turneth. Also a iuglers box. Also a certaine measure. Also a kind of musicall instrument,,Also a kind of plant,
A,accettar l'inuito,"to accept an offer or inuitation, to see the vie at any plaie",,,
A,accettare,"to accept, to take",,,
A,accettatione,an acceptation,,,
A,accetteuole,acceptable,,,
A,accetteuolezza,acceptation,,,
A,accettissimo,most acceptable,,,
A,accetto,"accepted. Also acceptable, gratefull, in good worth",,,
A,accheggia,a moore hen,,,
A,acchenea,a hackuey or ambling nag,,,
A,acchetare,"to quiet, to hush, to still, to appease, to calme",,,
A,acchetatione<*>,"quieting, a hushing, a stilling, an appeasing, a calming",,,
A,accheteuol<*>,"that may be quieted, husht or calmed",,,
A,acchiappare,to catch by the buttocks. Also to take or ouertake or catch in running,,,
A,acchinea,a hackney or ambling nag,,,
A,acchiocciato,become lustie and strouting as a cackling hen about her chickens,,,
A,acci??_,,,,
A,acci??_ fratanto,,,,
A,accia,"anie yarne to be wouen, any spinning, or statute yarne in skeanes. Also a hatchet, an axe, a chip-axe, or chopping knife",,,
A,acciaccare,"to stampe or punne in a morter, to hauock, to spoile or destroie. Also to offer some affront or suddaine iniurie vpon ods and aduantage",,,
A,acciacco,"a hauock, a spoile. Also an affront or iniurie offered vnto another vpon anie ods and aduantage. Also a stamping or punning and brusing in a morter",,,
A,acciaffare,to snatch or hooke away,,,
A,acciaio,steele,,,
A,accialare,to steele,,,
A,acciale,anie kind of steele,,,
A,accialino,a steele to strike fire. Also the swiuell of a chaine,,,
A,acciapinare,"to miche, to shrug or sneake in some corner, and with pouting lips to shew anger as an ape being beaten and grinning with his teeth",,,
A,acciare,to reduce into skeanes as spinning yarne. Also to hatch or chop,,,
A,acciarpa,"botchinglie, bunglinglie",,,
A,acciarpare,to botch or bungle,,,
A,accidentale,"accidentall, casuall",,,
A,accidentalit??_,,,,
A,accidentalmente,"by chance, accidentallie",,,
A,accidentario,"accidentall, casuall",,,
A,accidente,"an accident, a chance, a hap. Also a fit of an ague or other sicknesse",,,
A,accidia,"sloth, idlenesse, lazinesse",,,
A,accidioso,"slothfull, idle, lazie",,,
A,acciecare,"to blind, to hoodwinke",,,
A,acciecatura,a blinding,,,
A,accieffare,,,,
A,accigliare,to seele a pigeons eies. Also to looke staring lie or musinglie,,,
A,accimare,"to sheare clothes. Also to clip, to pare, to top or lop trees. Also to trim, to dresse or pranke vp. Also to gird or prepare for something",,,
A,accimatura,,,,
A,accingere,to gird about. Also to prepare to doe something,,,
A,accino,"a grape-stone, a kernell, a graine or seed of anie fruit. Also the wheele of anie well wherein the chaine goes. Also a crane to draw vp anie waight",,,
A,accinoso,"full of kernells, graines or seeds",,,
A,accio,"being added to any positiue noune it makes it great, vnbandsome, ruinous, as",,,
A,accioccare,"t?_ tuffe, to tassell, to flake, to reduce into locks, tuffes, tassells, or flakes. Also to put a handfull of wooll or flax vpon a distaffe. Also to make or become hoarce in speaking. Also to reduce to a block, a stump or logge of wood. Also to catch by a tuffe of haires",,,
A,acciocch??_,,,,
A,acciocche viole,a kind of double violets,,,
A,accioch??_,,,,
A,accione,"being added to anie noune positiue, as","Homacci?_ne, Cauallacci?_ne, Casacci?_ne, Donnacci?_ne,","il makes it foule and great, huge and ruinous, lubbardlike and vnhandsomelie big",
A,accipensero,"a fish hauing the skales turned toward the head, and swimmeth against the streame. Some take it for the Sturgeon, the Elops or the Stuer",,,
A,accircondare,"to encircle, to compasse about",,,
A,accirire,"to dight, to prepare, to set in order",,,
A,accirito,"prepared, dight, set out",,,
A,accismare,"to molest, to vex, to afflict, to grieue, to trouble. Also to make or become obstinate, wilfull and headstrong. Also to deulde",,,
A,accitare,"to cite vnto, to summon",,,
A,accitatione,"a citation, a summoning",,,
A,accitatore,"a summoner, a citator",,,
A,acciucche,"trifles, toies, vanities",,,
A,acciuffare,"to gripe, to seaze, to catch or to clinch by the snout, or muzzle. Also to catch by the haires or forelocks",,,
A,acciuga,a fish like a Sprat called Anchioues. Also a kind of fruit. Also a kind of hashie or minced meat or ga-,,limafrie,
A,acciuimento,"an atchieuement, a bringing to passe. Also a shifting for. Also a bartering, a trucking, a corcing. Also a storing with",,,
A,acciuire,"to atchicue, to bring to passe, to shift for. Also to bartre, to truck, to change or corce for prosit. Also to furnish or store with",,,
A,acclamare,"to call vnto, to crie out, to exclaime",,,
A,acclamatione,"an acclamation, a calling vnto, a hue and crie",,,
A,acclinare,"to encline, to bend or stoope vnto",,,
A,acclinatione,an inclination or bending vnto,,,
A,acclino,enclined or bended vnto,,,
A,accliuare,"to bend, to encline or pitch downward as a hill",,,
A,accliuit??_,,,,
A,accliuo,"bending downe, steepie, enclining, hillie",,,
A,accobalista,,,,
A,accoccare,"to set in the nock, to nocke. Also to stick or cleaue vnto. Also to fasten a iest vpon one, or to make one swallow a gudgion. Also to strike or smite vpon",,,
A,accoccatura,"a nocking, a fastning vnto asticking or cleauing vnto. Also fastning a iest vpon one. A gudion giuen",,,
A,accoccolare,to coure or squat to the ground,,,
A,accodare,to set or fasten a taile vnto,,,
A,accodunanza,an assemblance,,,
A,accodunare,to gather or assemble together,,,
A,accoglienza,a collecting together. Also a friendly embracing and louing entertainment,,,
A,accogliere,"to gather or collect together. Also to receiue or embrace friendly, or to entertaine a friend with loue and affection",,,
A,accoglimento,idem,,,
A,accoinodabile,that may be accomodated,,,
A,accola,"a sea Swaliow or a sea Bat, or a sea Reare mouse",,,
A,accolare,to glue vnto or together,,,
A,accolaticcio,"gluish, or clammie",,,
A,accoliticcia gente,people gathered together pell mell and confusedlie,,,
A,accoliticciare,"to gather together pell mell, confusedly or tumultuouslie",,,
A,accolito,as,,,
A,accollanare,to enchain or hang a chain of gold about ones neck,,,
A,accollare,"to hug, to collor embrace about the neck",,,
A,accollata,a colling or embracing about the neck,,,
A,accollatura,,,,
A,accoltellare,to fence or fight with cutting weapons,,,
A,accoltellata,a wound or blow with a sword or cutting weapon,,,
A,accoltellatore,a sencer or fighter,,,
A,accolto,collected. Also receiued and embraced with loue and affection,,,
A,accomadagione,a recommending,,,
A,accomanda,a recommendation vnto,,,
A,accomandare,to recommend or bequeath vnto,,,
A,accombiatare,,,,
A,accomiatare,"to dismisse, to giue licence to depart",,,
A,accomitare,"to accompanie, to assotiate",,,
A,accomodamento,"an easing, a setling, a placing. Also a lending vnto",,,
A,accomodare,"to accomodate, to ease, to place, to stowe. Also to lend vnto",,,
A,accomodo,"commodiouslie, at ease",,,
A,accompagnamento,an accompanying,,,
A,accompagnare,to accompanie,,,
A,accompagnatura,"idem, a coupling",,,
A,accompiacere,to please vnto,,,
A,accompire,to accomplish,,,
A,accomunare,to make commune,,,
A,acconcia-pelle,"a dresser of leather, a tanner, a currier",,,
A,acconcia-stagni,a mender of pewter,,,
A,acconciamento,"a mending, a dressing, a making handsome, a reforming",,,
A,acconciare,"to mend, to dresse, to order, to settle, to repaire, to make handsome",,,
A,acconciarsr,"for a man to settle, place, accord, or reconcile himselfe",,,
A,acconciatam ente,"handsomlie, orderly",,,
A,acconciatore,"a mender, a setler",,,
A,acconciatura,,,,
A,acconcime,"a mending, a repairing",,,
A,acconcio,"a dighting, a making fit or readie, handsome, set led, drest, conuenient",,,
A,accone,a fish called in Latine,Agonus.,,
A,acconsentiente,a consenter vnto,,,
A,acconsentimento,a consenting vnto,,,
A,acconsentire,to consent vnto,,,
A,accontamento,acquaintance. Also accounting,,,
A,accontare,to acquaint. Also to accountor put into number,,,
A,accontato,"acquainted. Also accounted, or put in the number",,,
A,accontentare,to giue content vnto,,,
A,acconteuole,acquaintable. Also accountable,,,
A,acconto,acquainted. Also as,,,
A,acconuenire,to be conuenient. Also to come with or vnto,,,
A,accoppare,to knock on the head and kill as a butcher doth an oxe,,,
A,accoppiare,to couple vnto,,,
A,accoppiatura,a coupling vnto,,,
A,accopulare,to couple vnto,,,
A,accorare,to grieue to the heart,,,
A,accorataggine,griefe at the heart,,,
A,accorato,toucht or grieued at the heart,,,
A,accorciamento,as,,,
A,accorciare,"to shortcn, to curtall",,,
A,accorciatura,"a shortning, a curtalling",,,
A,accorcieuole,that may be shortned,,,
A,accordamento,"an according, an agreement, an atonement",,,
A,accordare,"to accord or agree vnto. Also to tune an instrument, to attone",,,
A,accordare col fornaio.,"to agree with the baker. By metapher to be well to liue, to haue no need of bread, to keepe the wolfe from the dore. Also to die and goe out of this world",,,
A,accordellatino,a kind of corded or striped stuffe worne in doublets,,,
A,accordeuole,"that may be accorded, tunable",,,
A,accordo,"an accord, an attonement",,,
A,accorgere,"to perceiue, to be aware of",,,
A,accorgimento,"warinesse, perceiuing",,,
A,accorncciare,"to anger, to be wroth",,,
A,accorrere,to run or flie vnto,,,
A,accorri,"helps, assistances",,,
A,accorri huomo,hue and crie for helpe,,,
A,accorrolare,to roule vp one within an other,,,
A,accorruccieuole,subiect to anger,,,
A,accorruccioso,"angrie, fretfull",,,
A,accortamente,"warilie, with foresight",,,
A,accortamento,"a shortning, a curtalling",,,
A,accortare,"to curtall, to shorten",,,
A,accortezza,"warinesse, foresight",,,
A,accorto,"aware, perceiued. Also wise, wittie, wilie, craftie, foreseeing",,,
A,accosciare,"to thigh, to coure down",,,
A,accostamento,"an acosting, an approaching, a ioining side to side",,,
A,accostante,"acosting, familiar, easie to be acquainted with. Also a kind of briske and well-relishing wine. Also aproaching vnto",,,
A,accostare,"to accost, to ioine side to side, to approach, to come neere",,,
A,accosteuole,"aproachable, familiar",,,
A,accostiare,,,,
A,accostiatamente,cowring downe,,,
A,accosto,"neere, by, close vnto",,,
A,accostumanza,"custome, vse, vre. Also nurture, ciuilitie, manncrs",,,
A,accostumare,"to accustome, to enure, to be wont. Also to nurture or bring vp in good manners or ciuill fashions",,,
A,accostumatamente,"customarilie. Also mannerly, ciuillie",,,
A,accostumatezza,,,,
A,accostumato,"accustomed, vsed, wont, enured. Also well brought vp, ciuill,",,mannerlie,
A,accostumeuole,"customable, vsuall",,,
A,accottonare,to cotton or set a nappe vpon,,,
A,accouare,to hatch or couie as a hen her chickens. Also to squat or cowre downe,,,
A,accouerare,to recouer or haue recourse vnto. Also to get shelter or protection,,,
A,accreditare,oz,"z??re,","to b<*> to shock as rams doe. Also to ioine, to fit or put close together",
A,accrescere,"to accrease, to augment, to accrue",,,
A,accrescimento,"an accrease, an accruing, an angmenting, a growing vnto",,,
A,accrestare,to crest or coxcomb,,,
A,accrestimento,as,,,
A,accriuellato,"hackt, hewed or cut full of holes. Also siftea, or made siue-wise",,,
A,accrostare,"to bring to a crust, to crust",,,
A,acctire,to become vinegre,,,
A,accubiare,"to couple as dogs, to leash",,,
A,accuire,to sharpen,,,
A,accumare,,,,
A,accumulanza,a heaping or hording vp,,,
A,accumulare,to heape together or hord vp in store,,,
A,accumulatione,,,,
A,accumulatore,a heaper or horder vp,,,
A,accupare,to occupie or put to vse,,,
A,accupatore,an occupier,,,
A,accurare,"to care with diligence, exactnesse or curiositie",,,
A,accuratamente,"diligently, curiouslie, exactlie, carefullie",,,
A,accuratezza,"exactnesse, diligence, curious carefulnesse",,,
A,accuratissimamente,most exactlie,,,
A,accurato,"carefullie diligent, curiouslie exact, warilie precise",,,
A,accurbare,to bend or make crooked,,,
A,accusa,an accusation,,,
A,accusare,to accuse,,,
A,accusatione,an accusation,,,
A,accusatiuo,the accusatiue case,,,
A,accusatore,an accuser,,,
A,accuseuole,that may be accused,,,
A,acedone mele,a kind of vnctuous and excellent honie,,,
A,acenso,at rent. Also in fee-farme,,,
A,acentinaia,by hundreds,,,
A,acento,"by hundreds, by a hundred",,,
A,acerate,a kind of snailes without hornes,,,
A,acerbamente,"sowrelie, sharplie. Also",,cruellie or eagerlie,
A,acerbare,"to ensowre, to ensharpen. Also to exasperate or make eagre",,,
A,acerbezza,"sowrenesse, sharpnesse, tartnesse. Also eagernesse, or crueltie",,,
A,acerbire,as,Acerbare.,,
A,acerbit??_,,,,
A,acerbo,"sowre, sharpe, tart, vnripe. Also cruell, seuere, eager, bitter",,,
A,acerco,"about, circling, wheeling",,,
A,acero,the maple tree or wood,,,
A,acerrimo,"most eagre, sharpe, sowre, fell, cruell, fierce, or vehement",,,
A,aceruire,as,,,
A,aceruo,as,Acerbo.,,
A,acesino,a kind of naturall borax vsed in physicke,,,
A,acetabulo,as,,,
A,acetare,to maket or grow sowre as vinegre,,,
A,acetarie,all manner of salades,,,
A,aceto,"vinegre, or alliger",,,
A,acetosa,the hearb Sourell or Sorell,,,
A,acetosella,,,,
A,acetosit??_,,,,
A,acetoso,full of sowrenesse or sharpnesse,,,
A,ach??_,,,,
A,ach??_ effett,,,,
A,ach??_ egli ??_ dentr,,,,
A,ach??_ egli ??_ fuora,,,,
A,ach??_ fare?,,,,
A,ach??_ fine?,,,,
A,ach??_ guisa?,,,,
A,ach??_ proposit,,,,
A,ach??_ siam,,,,
A,ach??_ tocca?,,,,
A,ach??_ toccasuo danno,,,,
A,ach??_?,,,,
A,ach??_mod,,,,
A,achante,,,,
A,achemene,"an hearb of the colour of Amber, which as some write being cast into an armie will make the soldiers be in feare and run away",,,
A,achemenidone,,,,
A,achetare,"to quiet, to whosh, to still",,,
A,achete,a kind of grashopper that sings verie loud,,,
A,acheto,"still, quiet, husht, calme",,,
A,achia,a fish called a Mullet,,,
A,achiamata,"at call, within call, at hand",,,
A,achilea,"the hearb ??arrow, All-heale, Nose-bleed, or Milfoile",,,
A,achilee,images of naked men wrestling,,,
A,achinare,"to encline, to stoope. Also to abase or bring low",,,
A,achino,"enclined, stooped. Also abased or brought low",,,
A,achiocciole,"snaile wise, as a paire of winding staires",,,
A,achirade,a kind of hearb,,,
A,achiunque modo,"in what manner soeuer, howsoeuer",,,
A,achiusi occhii,"blindfold, hoodwinkt",,,
A,aciaio,steele,,,
A,acialare,to steele,,,
A,acialino,a steele to strike fire,,,
A,aciauatare,to cobble or plaie the souter. Also to stuffe or quilt,,,
A,acicula,"a horne fish, or horneback",,,
A,acidale pere,a kind of peares,,,
A,acidari,"a kind of hat, broad about the brim, but sharpe and winding vpward",,,
A,acidire,to grow sowre or tart,,,
A,acido,"soure, tart or sharpe in rellish",,,
A,acie,"the front of an armie, a battellaraie, a squadron or maine battell. Also the edge or point of anie weapon or toole",,,
A,aciliaca,an ague proceeding of corruption of humors,,,
A,aciloffo,"to go sleep, short, fizzle and fiste",,,
A,acilone,the akehorne or mast of the Ilex or Huluer-tree,,,
A,acime,by tops or chiefs,,,
A,acino,as,Acc?_no.,"Also a kind of hearb neuer bearing flowre, like to Basill",
A,acinoso,as,,,
A,acinta,idely as one holding his hand vnder his girdle,,,
A,acipensero,as,,,
A,aco,anie kind of needle,,,
A,aco a pomo,a pin with a head,,,
A,aco da pomolo,a pin with a head,,,
A,acoda di rondine,like a Swallowes taile. Also a kind of combining or cimenting of stones in mazonrie so called,,,
A,acoda ritta,with a standing taile,,,
A,acolasto,"a prodigall, riotous, sensualler lecherous person",,,
A,acolito,"a resolute man, one that will not be brought from an opinion or will",,,
A,acolla,"glue colour, or wrought with glue",,,
A,acompagnia,in companie as partners that share alike,,,
A,acomparare,to compare together,,,
A,acomparatione,in comparison,,,
A,acompasso,"by compasse, line or measure",,,
A,acompiacenza,at will and pleasure,,,
A,acompiacimento,idem,,,
A,acompimento,"at full, in complete manner",,,
A,acompitare,to spell or read distinctlie,,,
A,acompito,"distinctlie, sillable by syllable",,,
A,aconcorrenza,"striuinglie, incompetencie",,,
A,aconiare,to billettie in armorie,,,
A,aconii,billetie in armorie,,,
A,aconito,the hearb wolues-bane,,,
A,aconscienza ritta,with a readie conscience. Also with a stiffe-standing pricke,,,
A,acontia,a blazing starre or firie impression in the aire that shaketh and brandisheth like a dart or speare with great swiftnesse. Also a kind of swift gliding serpent of a greene colour,,,
A,aconto,as,,,
A,acopa,"a medicine, plaster or ointment to cure wearinesse or vnlustinesse of the bodie. Also a kind of pretious stone",,,
A,acopi; acopici,,,,
A,acopo,Also an hearb,,,
A,acorataggine,,,,
A,acorataggini,"sobs, pantings, or blubrings drawne from the heart",,,
A,acorna,a thistle called Mans blood,,,
A,acoro,"the sweet Cane, or as some thinke the great Galingale or false Calamus",,,
A,acorpo di cauallo,within the length of a horse,,,
A,acorr'huomo,with hue and crie,,,
A,acorsa,"running, in full speed",,,
A,acqua,anie kind of water,,,
A,acqua bollente,scalding or boiling water,,,
A,acqua d' orgio,tysane or barlie water,,,
A,acqua di fiume,riuer water,,,
A,acqua di latte,clarifide whaie of milke,,,
A,acqua inrosata,rose water,,,
A,acqua maestra,the master-water. Saltpeeter men call it mother of Salt peeter,,,
A,acqua morta,anie dead or standing water,,,
A,acqua nanfa,sweet washing water,,,
